"","IGF2R"
"MUL1",0.6424059011179
"ADAMTSL3",0.641997283160549
"RPS15A",0.641706115237551
"AKAP8",0.641692089834185
"NFIC",0.641658083342698
"FNDC3B",0.641206712716017
"NKIRAS2",0.641189472598263
"GYPC",0.641129732499314
"GTF2IRD2B",0.641117412644049
"FTSJ3",0.640377639697597
"EIF5A",0.639848234025326
"INPPL1",0.639776184453144
"FHL3",0.639612811760839
"GNL3",0.639309225066011
"BCKDK",0.639199787875687
"USP38",0.639077204713197
"PSMD3",0.638726114201724
"ELOA",0.638550355732018
"NID1",0.638383226057623
"TNNT3",0.638289695668145
"RNF31",0.638195666697416
"RPL10",0.638055691228715
"CCN5",0.638019766498419
"RPL29",0.63767143606989
"CRTC2",0.637481685976964
"TMEM161A",0.637291643260941
"PRR33",0.63721453046266
"CAT",0.637191117121359
"CAV2",0.636758830067681
"GIPC2",0.636263290501178
"MLX",0.636186777034355
"BTF3",0.635990319750031
"FGD5",0.635968390592189
"TINAGL1",0.635924793298252
"PLEKHF1",0.635920349468863
"PHB2",0.635702128380912
"RPUSD4",0.635638617493444
"CAVIN2",0.635044929213185
"ABCB7",0.634917966024308
"TLN1",0.634789522378703
"EIF3A",0.634747955362169
"HDAC3",0.634715162066968
"TMEM43",0.634156317822939
"BCL6",0.634036235202635
"KLHL20",0.633978764004726
"CDH5",0.633865746919576
"ZBTB7B",0.633826508001184
"WBP1L",0.633571117426086
"RIPOR3",0.633334937588912
"SLC8B1",0.633206026000933
"PPP1R14B",0.633204469848551
"AP5B1",0.633096293524868
"COQ8A",0.633016291340674
"PDK4",0.632979508143964
"ZFP36L1",0.632964310374285
"NFKB2",0.632256523887345
"PKDCC",0.632236368733463
"ZNF330",0.63188107612744
"FCN3",0.631621944350128
"SRRM2",0.631571385423545
"SLC19A2",0.631434817256818
"CCL16",0.631389494499833
"RPL7A",0.63118713026472
"ERG",0.631026448090974
"ECE1",0.630769987930379
"EEF2",0.630754843211042
"NLRX1",0.630482825613496
"PSMA7",0.629506013944861
"BCL6B",0.629434797819827
"SLC43A3",0.629416158998689
"VPS26C",0.629395660091867
"PHLDB2",0.629254242110794
"EFNB1",0.629232930390494
"NPR3",0.629225640191024
"SPRY1",0.62907991958838
"NOP16",0.628950919478098
"ADRB2",0.628855577976362
"DBR1",0.628712917762749
"TBC1D4",0.628608500764915
"PTPN14",0.628555643878685
"MCL1",0.62840128036324
"CARS2",0.628258419351687
"DOCK6",0.628194660854963
"FAT4",0.628134071382685
"SERPING1",0.62763277004559
"NHEJ1",0.627471234176571
"MAP3K3",0.627224906146822
"CCN1",0.626768195938234
"MEOX1",0.626583919533941
"IRF2BP2",0.626525134055282
"BCL9L",0.626492142876368
"ESYT1",0.626365987205167
"RANBP10",0.625952002209899
"PLEKHH3",0.62578662320584
"PLAGL1",0.625372285537508
"LAMB2",0.625102088252052
"SLC10A3",0.624921945289381
"HSD3B7",0.624852867172044
"PPTC7",0.624798829418849
"RPS2",0.62470282445955
"HEBP2",0.624540687549201
"NEDD4",0.624516478883703
"FABP4",0.62445656540457
"EIF2D",0.623895083586847
"RRP36",0.623772140325636
"DBT",0.623501719089041
